NOC,Year,Athletes_Count,Sports_Count,Gold,Silver,Bronze,Total_Medals,Is_Host,Total Events,Total Disciplines,Total Sports,sports coverage,Gold winning rate,Silver winning rate,Bronze winning rate,Medal winning rate
AFG,2024,7,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0
AHO,1952,11,1,0,0,0,0,False,149.0,23.0,17.0,0.058823529411764705,0.0,0.0,0.0,0.0
AHO,1960,5,1,0,0,0,0,False,150.0,23.0,17.0,0.058823529411764705,0.0,0.0,0.0,0.0
AHO,1964,4,2,0,0,0,0,False,163.0,25.0,19.0,0.10526315789473684,0.0,0.0,0.0,0.0
AHO,1968,5,2,0,0,0,0,False,172.0,24.0,18.0,0.1111111111111111,0.0,0.0,0.0,0.0
AHO,1972,2,2,0,0,0,0,False,195.0,28.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
AHO,1976,4,2,0,0,0,0,False,198.0,27.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
AHO,1984,13,3,0,0,0,0,False,221.0,29.0,21.0,0.14285714285714285,0.0,0.0,0.0,0.0
AHO,1988,4,3,0,1,0,1,False,237.0,31.0,23.0,0.13043478260869565,0.0,0.004219409282700422,0.0,0.0014064697609001407
AHO,1992,4,3,0,0,0,0,False,257.0,34.0,25.0,0.12,0.0,0.0,0.0,0.0
AHO,1996,7,5,0,0,0,0,False,271.0,37.0,25.0,0.2,0.0,0.0,0.0,0.0
AHO,2000,8,6,0,0,0,0,False,300.0,40.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0
AHO,2004,3,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
AHO,2008,4,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
AIN,2024,46,10,1,3,1,5,False,329.0,48.0,32.0,0.3125,0.00303951367781155,0.00911854103343465,0.00303951367781155,0.005065856129685917
ALB,1972,5,2,0,0,0,0,False,195.0,28.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
ALB,1992,9,4,0,0,0,0,False,257.0,34.0,25.0,0.16,0.0,0.0,0.0,0.0
ALB,1996,9,5,0,0,0,0,False,271.0,37.0,25.0,0.2,0.0,0.0,0.0,0.0
ALB,2000,5,3,0,0,0,0,False,300.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
ALB,2004,7,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0
ALB,2008,12,6,0,0,0,0,False,302.0,42.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0
ALB,2012,10,5,0,0,0,0,False,302.0,40.0,26.0,0.19230769230769232,0.0,0.0,0.0,0.0
ALB,2016,6,3,0,0,0,0,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0
ALB,2020,10,6,0,0,0,0,False,339.0,50.0,33.0,0.18181818181818182,0.0,0.0,0.0,0.0
ALB,2024,9,4,0,0,2,2,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0060790273556231,0.002026342451874367
ALG,1964,7,1,0,0,0,0,False,163.0,25.0,19.0,0.05263157894736842,0.0,0.0,0.0,0.0
ALG,1968,9,2,0,0,0,0,False,172.0,24.0,18.0,0.1111111111111111,0.0,0.0,0.0,0.0
ALG,1972,7,2,0,0,0,0,False,195.0,28.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
ALG,1980,63,9,0,0,0,0,False,203.0,27.0,21.0,0.42857142857142855,0.0,0.0,0.0,0.0
ALG,1984,33,4,0,0,2,2,False,221.0,29.0,21.0,0.19047619047619047,0.0,0.0,0.00904977375565611,0.0030165912518853697
ALG,1988,45,7,0,0,0,0,False,237.0,31.0,23.0,0.30434782608695654,0.0,0.0,0.0,0.0
ALG,1992,36,7,1,0,1,2,False,257.0,34.0,25.0,0.28,0.0038910505836575876,0.0,0.0038910505836575876,0.0025940337224383916
ALG,1996,47,9,2,0,1,3,False,271.0,37.0,25.0,0.36,0.007380073800738007,0.0,0.0036900369003690036,0.0036900369003690036
ALG,2000,51,10,1,1,3,5,False,300.0,40.0,27.0,0.37037037037037035,0.0033333333333333335,0.0033333333333333335,0.01,0.005555555555555556
ALG,2004,71,10,0,0,0,0,False,301.0,40.0,27.0,0.37037037037037035,0.0,0.0,0.0,0.0
ALG,2008,57,12,0,1,1,2,False,302.0,42.0,27.0,0.4444444444444444,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797
ALG,2012,39,12,1,0,0,1,False,302.0,40.0,26.0,0.46153846153846156,0.0033112582781456954,0.0,0.0,0.0011037527593818985
ALG,2016,74,13,0,2,0,2,False,306.0,42.0,28.0,0.4642857142857143,0.0,0.006535947712418301,0.0,0.002178649237472767
ALG,2020,45,15,0,0,0,0,False,339.0,50.0,33.0,0.45454545454545453,0.0,0.0,0.0,0.0
ALG,2024,55,15,2,0,1,3,False,329.0,48.0,32.0,0.46875,0.0060790273556231,0.0,0.00303951367781155,0.00303951367781155
AND,1976,3,2,0,0,0,0,False,198.0,27.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
AND,1980,2,1,0,0,0,0,False,203.0,27.0,21.0,0.047619047619047616,0.0,0.0,0.0,0.0
AND,1984,2,1,0,0,0,0,False,221.0,29.0,21.0,0.047619047619047616,0.0,0.0,0.0,0.0
AND,1988,4,2,0,0,0,0,False,237.0,31.0,23.0,0.08695652173913043,0.0,0.0,0.0,0.0
AND,1992,8,5,0,0,0,0,False,257.0,34.0,25.0,0.2,0.0,0.0,0.0,0.0
AND,1996,8,5,0,0,0,0,False,271.0,37.0,25.0,0.2,0.0,0.0,0.0,0.0
AND,2000,5,3,0,0,0,0,False,300.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
AND,2004,6,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0
AND,2008,5,4,0,0,0,0,False,302.0,42.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0
AND,2012,6,4,0,0,0,0,False,302.0,40.0,26.0,0.15384615384615385,0.0,0.0,0.0,0.0
AND,2016,4,4,0,0,0,0,False,306.0,42.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0
AND,2020,3,2,0,0,0,0,False,339.0,50.0,33.0,0.06060606060606061,0.0,0.0,0.0,0.0
AND,2024,4,2,0,0,0,0,False,329.0,48.0,32.0,0.0625,0.0,0.0,0.0,0.0
ANG,1980,17,3,0,0,0,0,False,203.0,27.0,21.0,0.14285714285714285,0.0,0.0,0.0,0.0
ANG,1988,33,4,0,0,0,0,False,237.0,31.0,23.0,0.17391304347826086,0.0,0.0,0.0,0.0
ANG,1992,33,6,0,0,0,0,False,257.0,34.0,25.0,0.24,0.0,0.0,0.0,0.0
ANG,1996,30,5,0,0,0,0,False,271.0,37.0,25.0,0.2,0.0,0.0,0.0,0.0
ANG,2000,30,5,0,0,0,0,False,300.0,40.0,27.0,0.18518518518518517,0.0,0.0,0.0,0.0
ANG,2004,30,5,0,0,0,0,False,301.0,40.0,27.0,0.18518518518518517,0.0,0.0,0.0,0.0
ANG,2008,33,6,0,0,0,0,False,302.0,42.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0
ANG,2012,35,6,0,0,0,0,False,302.0,40.0,26.0,0.23076923076923078,0.0,0.0,0.0,0.0
ANG,2016,26,7,0,0,0,0,False,306.0,42.0,28.0,0.25,0.0,0.0,0.0,0.0
ANG,2020,20,5,0,0,0,0,False,339.0,50.0,33.0,0.15151515151515152,0.0,0.0,0.0,0.0
ANG,2024,26,7,0,0,0,0,False,329.0,48.0,32.0,0.21875,0.0,0.0,0.0,0.0
ANT,1976,17,2,0,0,0,0,False,198.0,27.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
ANT,1984,27,3,0,0,0,0,False,221.0,29.0,21.0,0.14285714285714285,0.0,0.0,0.0,0.0
ANT,1988,25,4,0,0,0,0,False,237.0,31.0,23.0,0.17391304347826086,0.0,0.0,0.0,0.0
ANT,1992,18,3,0,0,0,0,False,257.0,34.0,25.0,0.12,0.0,0.0,0.0,0.0
ANT,1996,19,4,0,0,0,0,False,271.0,37.0,25.0,0.16,0.0,0.0,0.0,0.0
ANT,2000,4,2,0,0,0,0,False,300.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
ANT,2004,5,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
ANT,2008,5,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
ANT,2012,4,2,0,0,0,0,False,302.0,40.0,26.0,0.07692307692307693,0.0,0.0,0.0,0.0
ANT,2016,9,2,0,0,0,0,False,306.0,42.0,28.0,0.07142857142857142,0.0,0.0,0.0,0.0
ANT,2020,6,4,0,0,0,0,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0,0.0
ANT,2024,5,3,0,0,0,0,False,329.0,48.0,32.0,0.09375,0.0,0.0,0.0,0.0
ANZ,1908,48,6,1,2,2,5,False,110.0,25.0,22.0,0.2727272727272727,0.00909090909090909,0.01818181818181818,0.01818181818181818,0.015151515151515152
ANZ,1912,38,4,2,2,3,7,False,102.0,18.0,14.0,0.2857142857142857,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.02287581699346405
ARG,1900,1,1,0,0,0,0,False,97.0,22.0,20.0,0.05,0.0,0.0,0.0,0.0
ARG,1908,1,1,0,0,0,0,False,110.0,25.0,22.0,0.045454545454545456,0.0,0.0,0.0,0.0
ARG,1920,1,1,0,0,0,0,False,156.0,29.0,22.0,0.045454545454545456,0.0,0.0,0.0,0.0
ARG,1924,109,11,1,3,2,6,False,126.0,23.0,17.0,0.6470588235294118,0.007936507936507936,0.023809523809523808,0.015873015873015872,0.015873015873015872
ARG,1928,98,12,3,3,1,7,False,109.0,20.0,14.0,0.8571428571428571,0.027522935779816515,0.027522935779816515,0.009174311926605505,0.021406727828746176
ARG,1932,47,7,3,1,0,4,False,117.0,20.0,14.0,0.5,0.02564102564102564,0.008547008547008548,0.0,0.011396011396011397
ARG,1936,68,8,2,2,3,7,False,129.0,25.0,19.0,0.42105263157894735,0.015503875968992248,0.015503875968992248,0.023255813953488372,0.01808785529715762
ARG,1948,295,16,3,3,1,7,False,136.0,23.0,17.0,0.9411764705882353,0.022058823529411766,0.022058823529411766,0.007352941176470588,0.01715686274509804
ARG,1952,174,15,1,2,2,5,False,149.0,23.0,17.0,0.8823529411764706,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.011185682326621925
ARG,1956,44,9,0,1,1,2,False,151.0,23.0,17.0,0.5294117647058824,0.0,0.006622516556291391,0.006622516556291391,0.004415011037527594
ARG,1960,116,15,0,1,1,2,False,150.0,23.0,17.0,0.8823529411764706,0.0,0.006666666666666667,0.006666666666666667,0.0044444444444444444
ARG,1964,148,14,0,1,0,1,False,163.0,25.0,19.0,0.7368421052631579,0.0,0.006134969325153374,0.0,0.002044989775051125
ARG,1968,132,12,0,0,2,2,False,172.0,24.0,18.0,0.6666666666666666,0.0,0.0,0.011627906976744186,0.003875968992248062
ARG,1972,123,12,0,1,0,1,False,195.0,28.0,21.0,0.5714285714285714,0.0,0.005128205128205128,0.0,0.0017094017094017094
ARG,1976,106,12,0,0,0,0,False,198.0,27.0,21.0,0.5714285714285714,0.0,0.0,0.0,0.0
ARG,1984,115,14,0,0,0,0,False,221.0,29.0,21.0,0.6666666666666666,0.0,0.0,0.0,0.0
ARG,1988,134,18,0,1,1,2,False,237.0,31.0,23.0,0.782608695652174,0.0,0.004219409282700422,0.004219409282700422,0.0028129395218002813
ARG,1992,111,17,0,0,1,1,False,257.0,34.0,25.0,0.68,0.0,0.0,0.0038910505836575876,0.0012970168612191958
ARG,1996,221,20,0,2,1,3,False,271.0,37.0,25.0,0.8,0.0,0.007380073800738007,0.0036900369003690036,0.0036900369003690036
ARG,2000,165,21,0,2,2,4,False,300.0,40.0,27.0,0.7777777777777778,0.0,0.006666666666666667,0.006666666666666667,0.0044444444444444444
ARG,2004,179,22,2,0,4,6,False,301.0,40.0,27.0,0.8148148148148148,0.006644518272425249,0.0,0.013289036544850499,0.006644518272425249
ARG,2008,145,19,2,0,4,6,False,302.0,42.0,27.0,0.7037037037037037,0.006622516556291391,0.0,0.013245033112582781,0.006622516556291391
ARG,2012,148,23,1,1,2,4,False,302.0,40.0,26.0,0.8846153846153846,0.0033112582781456954,0.0033112582781456954,0.006622516556291391,0.004415011037527594
ARG,2016,232,26,3,1,0,4,False,306.0,42.0,28.0,0.9285714285714286,0.00980392156862745,0.0032679738562091504,0.0,0.004357298474945534
ARG,2020,208,31,0,1,2,3,False,339.0,50.0,33.0,0.9393939393939394,0.0,0.0029498525073746312,0.0058997050147492625,0.0029498525073746312
ARG,2024,154,25,1,1,1,3,False,329.0,48.0,32.0,0.78125,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.00303951367781155
ARM,1996,38,11,1,1,0,2,False,271.0,37.0,25.0,0.44,0.0036900369003690036,0.0036900369003690036,0.0,0.0024600246002460025
ARM,2000,26,10,0,0,1,1,False,300.0,40.0,27.0,0.37037037037037035,0.0,0.0,0.0033333333333333335,0.0011111111111111111
ARM,2004,19,8,0,0,0,0,False,301.0,40.0,27.0,0.2962962962962963,0.0,0.0,0.0,0.0
ARM,2008,26,7,0,0,6,6,False,302.0,42.0,27.0,0.25925925925925924,0.0,0.0,0.019867549668874173,0.006622516556291391
ARM,2012,31,9,0,1,2,3,False,302.0,40.0,26.0,0.34615384615384615,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954
ARM,2016,34,8,1,3,0,4,False,306.0,42.0,28.0,0.2857142857142857,0.0032679738562091504,0.00980392156862745,0.0,0.004357298474945534
ARM,2020,19,8,0,2,2,4,False,339.0,50.0,33.0,0.24242424242424243,0.0,0.0058997050147492625,0.0058997050147492625,0.003933136676499509
ARM,2024,17,7,0,3,1,4,False,329.0,48.0,32.0,0.21875,0.0,0.00911854103343465,0.00303951367781155,0.004052684903748734
ARU,1988,12,5,0,0,0,0,False,237.0,31.0,23.0,0.21739130434782608,0.0,0.0,0.0,0.0
ARU,1992,5,3,0,0,0,0,False,257.0,34.0,25.0,0.12,0.0,0.0,0.0,0.0
ARU,1996,3,3,0,0,0,0,False,271.0,37.0,25.0,0.12,0.0,0.0,0.0,0.0
ARU,2000,5,3,0,0,0,0,False,300.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
ARU,2004,4,3,0,0,0,0,False,301.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
ARU,2008,2,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
ARU,2012,4,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0
ARU,2016,7,4,0,0,0,0,False,306.0,42.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0
ARU,2020,4,2,0,0,0,0,False,339.0,50.0,33.0,0.06060606060606061,0.0,0.0,0.0,0.0
ARU,2024,7,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0
ASA,1988,6,4,0,0,0,0,False,237.0,31.0,23.0,0.17391304347826086,0.0,0.0,0.0,0.0
ASA,1992,3,2,0,0,0,0,False,257.0,34.0,25.0,0.08,0.0,0.0,0.0,0.0
ASA,1996,7,5,0,0,0,0,False,271.0,37.0,25.0,0.2,0.0,0.0,0.0,0.0
ASA,2000,4,3,0,0,0,0,False,300.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
ASA,2004,3,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0
ASA,2008,4,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0
ASA,2012,4,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0
ASA,2016,4,3,0,0,0,0,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0
ASA,2020,6,4,0,0,0,0,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0,0.0
ASA,2024,2,2,0,0,0,0,False,329.0,48.0,32.0,0.0625,0.0,0.0,0.0,0.0
AUS,1896,5,2,2,0,1,3,False,43.0,10.0,11.0,0.18181818181818182,0.046511627906976744,0.0,0.023255813953488372,0.023255813953488372
AUS,1900,6,2,3,0,3,6,False,97.0,22.0,20.0,0.1,0.030927835051546393,0.0,0.030927835051546393,0.020618556701030927
AUS,1904,6,2,0,3,1,4,False,95.0,18.0,16.0,0.125,0.0,0.031578947368421054,0.010526315789473684,0.014035087719298246
AUS,1906,10,2,0,0,3,3,False,76.0,13.0,11.0,0.18181818181818182,0.0,0.0,0.039473684210526314,0.013157894736842105
AUS,1920,29,5,0,2,1,3,False,156.0,29.0,22.0,0.22727272727272727,0.0,0.01282051282051282,0.00641025641025641,0.00641025641025641
AUS,1924,60,9,3,1,2,6,False,126.0,23.0,17.0,0.5294117647058824,0.023809523809523808,0.007936507936507936,0.015873015873015872,0.015873015873015872
AUS,1928,29,6,1,2,1,4,False,109.0,20.0,14.0,0.42857142857142855,0.009174311926605505,0.01834862385321101,0.009174311926605505,0.012232415902140673
AUS,1932,20,6,3,1,1,5,False,117.0,20.0,14.0,0.42857142857142855,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.014245014245014245
AUS,1936,39,7,0,0,1,1,False,129.0,25.0,19.0,0.3684210526315789,0.0,0.0,0.007751937984496124,0.002583979328165375
AUS,1948,103,11,2,6,5,13,False,136.0,23.0,17.0,0.6470588235294118,0.014705882352941176,0.04411764705882353,0.03676470588235294,0.031862745098039214
AUS,1952,140,12,6,2,3,11,False,149.0,23.0,17.0,0.7058823529411765,0.040268456375838924,0.013422818791946308,0.020134228187919462,0.024608501118568233
AUS,1956,412,19,13,8,14,35,True,151.0,23.0,17.0,1.1176470588235294,0.08609271523178808,0.052980132450331126,0.09271523178807947,0.0772626931567329
AUS,1960,280,17,8,8,6,22,False,150.0,23.0,17.0,1.0,0.05333333333333334,0.05333333333333334,0.04,0.04888888888888889
AUS,1964,392,19,6,2,10,18,False,163.0,25.0,19.0,1.0,0.03680981595092025,0.012269938650306749,0.06134969325153374,0.03680981595092025
AUS,1968,224,16,5,7,5,17,False,172.0,24.0,18.0,0.8888888888888888,0.029069767441860465,0.040697674418604654,0.029069767441860465,0.03294573643410853
AUS,1972,266,20,8,7,2,17,False,195.0,28.0,21.0,0.9523809523809523,0.041025641025641026,0.035897435897435895,0.010256410256410256,0.02905982905982906
AUS,1976,274,20,0,1,4,5,False,198.0,27.0,21.0,0.9523809523809523,0.0,0.005050505050505051,0.020202020202020204,0.008417508417508417
AUS,1980,190,17,2,2,5,9,False,203.0,27.0,21.0,0.8095238095238095,0.009852216748768473,0.009852216748768473,0.024630541871921183,0.014778325123152709
AUS,1984,337,22,4,8,12,24,False,221.0,29.0,21.0,1.0476190476190477,0.01809954751131222,0.03619909502262444,0.05429864253393665,0.03619909502262444
AUS,1988,339,24,3,6,5,14,False,237.0,31.0,23.0,1.0434782608695652,0.012658227848101266,0.02531645569620253,0.02109704641350211,0.01969057665260197
AUS,1992,390,25,7,9,11,27,False,257.0,34.0,25.0,1.0,0.027237354085603113,0.03501945525291829,0.042801556420233464,0.03501945525291829
AUS,1996,550,26,9,9,23,41,False,271.0,37.0,25.0,1.04,0.033210332103321034,0.033210332103321034,0.08487084870848709,0.05043050430504305
AUS,2000,788,34,16,25,17,58,True,300.0,40.0,27.0,1.2592592592592593,0.05333333333333334,0.08333333333333333,0.056666666666666664,0.06444444444444444
AUS,2004,601,33,17,16,17,50,False,301.0,40.0,27.0,1.2222222222222223,0.05647840531561462,0.053156146179401995,0.05647840531561462,0.05537098560354374
AUS,2008,570,31,14,15,17,46,False,302.0,42.0,27.0,1.1481481481481481,0.046357615894039736,0.04966887417218543,0.056291390728476824,0.05077262693156733
AUS,2012,514,29,7,16,12,35,False,302.0,40.0,26.0,1.1153846153846154,0.023178807947019868,0.052980132450331126,0.039735099337748346,0.03863134657836645
AUS,2016,518,31,8,11,10,29,False,306.0,42.0,28.0,1.1071428571428572,0.026143790849673203,0.03594771241830065,0.032679738562091505,0.03159041394335512
AUS,2020,638,41,17,7,22,46,False,339.0,50.0,33.0,1.2424242424242424,0.05014749262536873,0.02064896755162242,0.06489675516224189,0.04523107177974434
AUS,2024,649,44,18,18,16,52,False,329.0,48.0,32.0,1.375,0.0547112462006079,0.0547112462006079,0.0486322188449848,0.05268490374873354
AUT,1896,8,3,2,1,2,5,False,43.0,10.0,11.0,0.2727272727272727,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.03875968992248062
AUT,1900,26,4,0,3,3,6,False,97.0,22.0,20.0,0.2,0.0,0.030927835051546393,0.030927835051546393,0.020618556701030927
AUT,1904,7,2,2,1,1,4,False,95.0,18.0,16.0,0.125,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.014035087719298246
AUT,1906,100,9,3,3,3,9,False,76.0,13.0,11.0,0.8181818181818182,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314
AUT,1908,13,4,0,0,1,1,False,110.0,25.0,22.0,0.18181818181818182,0.0,0.0,0.00909090909090909,0.0030303030303030303
AUT,1912,132,12,0,2,2,4,False,102.0,18.0,14.0,0.8571428571428571,0.0,0.0196078431372549,0.0196078431372549,0.013071895424836602
AUT,1924,56,8,0,3,1,4,False,126.0,23.0,17.0,0.47058823529411764,0.0,0.023809523809523808,0.007936507936507936,0.010582010582010581
AUT,1928,113,13,3,0,1,4,False,109.0,20.0,14.0,0.9285714285714286,0.027522935779816515,0.0,0.009174311926605505,0.012232415902140673
AUT,1932,33,7,1,1,3,5,False,117.0,20.0,14.0,0.5,0.008547008547008548,0.008547008547008548,0.02564102564102564,0.014245014245014245
AUT,1936,363,19,5,7,5,17,False,129.0,25.0,19.0,1.0,0.03875968992248062,0.05426356589147287,0.03875968992248062,0.04392764857881137
AUT,1948,239,17,2,2,4,8,False,136.0,23.0,17.0,1.0,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.0196078431372549
AUT,1952,238,16,0,1,1,2,False,149.0,23.0,17.0,0.9411764705882353,0.0,0.006711409395973154,0.006711409395973154,0.0044742729306487695
AUT,1956,57,12,0,0,2,2,False,151.0,23.0,17.0,0.7058823529411765,0.0,0.0,0.013245033112582781,0.004415011037527594
AUT,1960,198,15,1,1,0,2,False,150.0,23.0,17.0,0.8823529411764706,0.006666666666666667,0.006666666666666667,0.0,0.0044444444444444444
AUT,1964,82,14,0,0,0,0,False,163.0,25.0,19.0,0.7368421052631579,0.0,0.0,0.0,0.0
AUT,1968,59,12,0,2,2,4,False,172.0,24.0,18.0,0.6666666666666666,0.0,0.011627906976744186,0.011627906976744186,0.007751937984496124
AUT,1972,143,15,0,1,2,3,False,195.0,28.0,21.0,0.7142857142857143,0.0,0.005128205128205128,0.010256410256410256,0.005128205128205128
AUT,1976,73,15,0,0,1,1,False,198.0,27.0,21.0,0.7142857142857143,0.0,0.0,0.005050505050505051,0.0016835016835016834
AUT,1980,92,16,1,2,1,4,False,203.0,27.0,21.0,0.7619047619047619,0.0049261083743842365,0.009852216748768473,0.0049261083743842365,0.006568144499178982
AUT,1984,130,18,1,1,1,3,False,221.0,29.0,21.0,0.8571428571428571,0.004524886877828055,0.004524886877828055,0.004524886877828055,0.004524886877828055
AUT,1988,96,17,1,0,0,1,False,237.0,31.0,23.0,0.7391304347826086,0.004219409282700422,0.0,0.0,0.0014064697609001407
AUT,1992,127,17,0,2,0,2,False,257.0,34.0,25.0,0.68,0.0,0.007782101167315175,0.0,0.0025940337224383916
AUT,1996,92,15,0,1,2,3,False,271.0,37.0,25.0,0.6,0.0,0.0036900369003690036,0.007380073800738007,0.0036900369003690036
AUT,2000,114,17,2,1,0,3,False,300.0,40.0,27.0,0.6296296296296297,0.006666666666666667,0.0033333333333333335,0.0,0.0033333333333333335
AUT,2004,92,18,2,4,1,7,False,301.0,40.0,27.0,0.6666666666666666,0.006644518272425249,0.013289036544850499,0.0033222591362126247,0.007751937984496124
AUT,2008,93,16,0,1,2,3,False,302.0,42.0,27.0,0.5925925925925926,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954
AUT,2012,90,19,0,0,0,0,False,302.0,40.0,26.0,0.7307692307692307,0.0,0.0,0.0,0.0
AUT,2016,85,23,0,0,1,1,False,306.0,42.0,28.0,0.8214285714285714,0.0,0.0,0.0032679738562091504,0.0010893246187363835
AUT,2020,103,24,1,1,5,7,False,339.0,50.0,33.0,0.7272727272727273,0.0029498525073746312,0.0029498525073746312,0.014749262536873156,0.00688298918387414
AUT,2024,121,26,2,0,3,5,False,329.0,48.0,32.0,0.8125,0.0060790273556231,0.0,0.00911854103343465,0.005065856129685917
AZE,1996,24,9,0,1,0,1,False,271.0,37.0,25.0,0.36,0.0,0.0036900369003690036,0.0,0.0012300123001230013
AZE,2000,32,8,2,0,1,3,False,300.0,40.0,27.0,0.2962962962962963,0.006666666666666667,0.0,0.0033333333333333335,0.0033333333333333335
AZE,2004,37,10,1,0,4,5,False,301.0,40.0,27.0,0.37037037037037035,0.0033222591362126247,0.0,0.013289036544850499,0.005537098560354375
AZE,2008,44,10,1,2,4,7,False,302.0,42.0,27.0,0.37037037037037035,0.0033112582781456954,0.006622516556291391,0.013245033112582781,0.00772626931567329
AZE,2012,59,15,2,2,6,10,False,302.0,40.0,26.0,0.5769230769230769,0.006622516556291391,0.006622516556291391,0.019867549668874173,0.011037527593818985
