NOC,Year,Athletes_Count,Sports_Count,Gold,Silver,Bronze,Total_Medals,Is_Host,Total Events,Total Disciplines,Total Sports,sports coverage,Gold winning rate,Silver winning rate,Bronze winning rate,Medal winning rate,Value
ALG,2024,55,15,2,0,1,3,False,329.0,48.0,32.0,0.46875,0.0060790273556231,0.0,0.00303951367781155,0.00303951367781155,0.016043059209995218
ARG,2004,179,22,2,0,4,6,False,301.0,40.0,27.0,0.8148148148148148,0.006644518272425249,0.0,0.013289036544850499,0.006644518272425249,0.036175768404659484
ARG,2008,145,19,2,0,4,6,False,302.0,42.0,27.0,0.7037037037037037,0.006622516556291391,0.0,0.013245033112582781,0.006622516556291391,0.036055981092061276
ARG,2012,148,23,1,1,2,4,False,302.0,40.0,26.0,0.8846153846153846,0.0033112582781456954,0.0033112582781456954,0.006622516556291391,0.004415011037527594,0.036219974944725876
ARG,2016,232,26,3,1,0,4,False,306.0,42.0,28.0,0.9285714285714286,0.00980392156862745,0.0032679738562091504,0.0,0.004357298474945534,0.03574651121995822
ARG,2020,208,31,0,1,2,3,False,339.0,50.0,33.0,0.9393939393939394,0.0,0.0029498525073746312,0.0058997050147492625,0.0029498525073746312,0.03623601911117489
ARG,2024,154,25,1,1,1,3,False,329.0,48.0,32.0,0.78125,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.037337417868353456
ARM,2004,19,8,0,0,0,0,False,301.0,40.0,27.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.01917402264723031
ARM,2008,26,7,0,0,6,6,False,302.0,42.0,27.0,0.25925925925925924,0.0,0.0,0.019867549668874173,0.006622516556291391,0.019110532506014313
ARM,2012,31,9,0,1,2,3,False,302.0,40.0,26.0,0.34615384615384615,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.019384006148666987
ARM,2016,34,8,1,3,0,4,False,306.0,42.0,28.0,0.2857142857142857,0.0032679738562091504,0.00980392156862745,0.0,0.004357298474945534,0.019130620447377223
ARM,2020,19,8,0,2,2,4,False,339.0,50.0,33.0,0.24242424242424243,0.0,0.0058997050147492625,0.0058997050147492625,0.003933136676499509,0.0167291335415356
ARM,2024,17,7,0,3,1,4,False,329.0,48.0,32.0,0.21875,0.0,0.00911854103343465,0.00303951367781155,0.004052684903748734,0.015015203420404617
AUS,2004,601,33,17,16,17,50,False,301.0,40.0,27.0,1.2222222222222223,0.05647840531561462,0.053156146179401995,0.05647840531561462,0.05537098560354374,0.11128156175506601
AUS,2008,570,31,14,15,17,46,False,302.0,42.0,27.0,1.1481481481481481,0.046357615894039736,0.04966887417218543,0.056291390728476824,0.05077262693156733,0.11195370898688815
AUS,2012,514,29,7,16,12,35,False,302.0,40.0,26.0,1.1153846153846154,0.023178807947019868,0.052980132450331126,0.039735099337748346,0.03863134657836645,0.1107076324780579
AUS,2016,518,31,8,11,10,29,False,306.0,42.0,28.0,1.1071428571428572,0.026143790849673203,0.03594771241830065,0.032679738562091505,0.03159041394335512,0.10926047388357348
AUS,2020,638,41,17,7,22,46,False,339.0,50.0,33.0,1.2424242424242424,0.05014749262536873,0.02064896755162242,0.06489675516224189,0.04523107177974434,0.1074719468454595
AUS,2024,649,44,18,18,16,52,False,329.0,48.0,32.0,1.375,0.0547112462006079,0.0547112462006079,0.0486322188449848,0.05268490374873354,0.1107385713696376
AUT,2004,92,18,2,4,1,7,False,301.0,40.0,27.0,0.6666666666666666,0.006644518272425249,0.013289036544850499,0.0033222591362126247,0.007751937984496124,0.018097758547482926
AUT,2008,93,16,0,1,2,3,False,302.0,42.0,27.0,0.5925925925925926,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.018090817473271487
AUT,2012,90,19,0,0,0,0,False,302.0,40.0,26.0,0.7307692307692307,0.0,0.0,0.0,0.0,0.01784826722847664
AUT,2016,85,23,0,0,1,1,False,306.0,42.0,28.0,0.8214285714285714,0.0,0.0,0.0032679738562091504,0.0010893246187363835,0.017614956545751452
AUT,2020,103,24,1,1,5,7,False,339.0,50.0,33.0,0.7272727272727273,0.0029498525073746312,0.0029498525073746312,0.014749262536873156,0.00688298918387414,0.02084215333732009
AUT,2024,121,26,2,0,3,5,False,329.0,48.0,32.0,0.8125,0.0060790273556231,0.0,0.00911854103343465,0.005065856129685917,0.02098372988748805
AZE,2004,37,10,1,0,4,5,False,301.0,40.0,27.0,0.37037037037037035,0.0033222591362126247,0.0,0.013289036544850499,0.005537098560354375,0.04825181527447081
AZE,2008,44,10,1,2,4,7,False,302.0,42.0,27.0,0.37037037037037035,0.0033112582781456954,0.006622516556291391,0.013245033112582781,0.00772626931567329,0.04809204105170766
AZE,2012,59,15,2,2,6,10,False,302.0,40.0,26.0,0.5769230769230769,0.006622516556291391,0.006622516556291391,0.019867549668874173,0.011037527593818985,0.0490611289600918
AZE,2016,69,15,1,7,10,18,False,306.0,42.0,28.0,0.5357142857142857,0.0032679738562091504,0.02287581699346405,0.032679738562091505,0.0196078431372549,0.04841980701290105
AZE,2020,55,14,0,3,4,7,False,339.0,50.0,33.0,0.42424242424242425,0.0,0.008849557522123894,0.011799410029498525,0.00688298918387414,0.055082076112919647
AZE,2024,49,15,2,2,3,7,False,329.0,48.0,32.0,0.46875,0.0060790273556231,0.0060790273556231,0.00911854103343465,0.0070921985815602835,0.04551173690622676
BAH,2004,28,3,1,0,1,2,False,301.0,40.0,27.0,0.1111111111111111,0.0033222591362126247,0.0,0.0033222591362126247,0.0022148394241417496,0.007722396909307615
BAH,2008,33,4,0,1,1,2,False,302.0,42.0,27.0,0.14814814814814814,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.007864148364236599
BAH,2012,29,2,1,0,0,1,False,302.0,40.0,26.0,0.07692307692307693,0.0033112582781456954,0.0,0.0,0.0011037527593818985,0.007864148364236599
BAH,2016,38,3,1,0,1,2,False,306.0,42.0,28.0,0.10714285714285714,0.0032679738562091504,0.0,0.0032679738562091504,0.002178649237472767,0.0077613490392138985
BAH,2020,22,2,2,0,0,2,False,339.0,50.0,33.0,0.06060606060606061,0.0058997050147492625,0.0,0.0,0.0019665683382497543,0.007154879475803284
BAH,2024,21,2,0,0,0,0,False,329.0,48.0,32.0,0.0625,0.0,0.0,0.0,0.0,0.0073723530161012565
BAR,2004,15,5,0,0,0,0,False,301.0,40.0,27.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0
BAR,2008,10,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
BAR,2012,8,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0
BAR,2016,13,5,0,0,0,0,False,306.0,42.0,28.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0
BAR,2020,9,2,0,0,0,0,False,339.0,50.0,33.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
BAR,2024,4,3,0,0,0,0,False,329.0,48.0,32.0,0.09375,0.0,0.0,0.0,0.0,0.0
BDI,2004,7,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.004603553379076927
BDI,2008,3,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.004688055690598998
BDI,2012,6,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.004688055690598998
BDI,2016,10,3,0,1,0,1,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0032679738562091504,0.0,0.0010893246187363835,0.004626773916865678
BDI,2020,7,3,0,0,0,0,False,339.0,50.0,33.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.004265239144600708
BDI,2024,8,3,0,0,0,0,False,329.0,48.0,32.0,0.09375,0.0,0.0,0.0,0.0,0.004394881671792219
BEL,2004,70,14,1,0,2,3,False,301.0,40.0,27.0,0.5185185185185185,0.0033222591362126247,0.0,0.006644518272425249,0.0033222591362126247,0.021754521695008917
BEL,2008,112,16,1,1,0,2,False,302.0,42.0,27.0,0.5925925925925926,0.0033112582781456954,0.0033112582781456954,0.0,0.002207505518763797,0.021995562209806276
BEL,2012,142,16,0,1,2,3,False,302.0,40.0,26.0,0.6153846153846154,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.021995562209806276
BEL,2016,138,19,2,2,2,6,False,306.0,42.0,28.0,0.6785714285714286,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.0217080385207892
BEL,2020,185,25,3,1,3,7,False,339.0,50.0,33.0,0.7575757575757576,0.008849557522123894,0.0029498525073746312,0.008849557522123894,0.00688298918387414,0.02089639390848602
BEL,2024,240,25,3,1,5,9,False,329.0,48.0,32.0,0.78125,0.00911854103343465,0.00303951367781155,0.015197568389057751,0.00911854103343465,0.021531542659503834
BER,2004,10,6,0,0,0,0,False,301.0,40.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0019495150335863062
BER,2008,6,4,0,0,0,0,False,302.0,42.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.001943059685792974
BER,2012,8,5,0,0,0,0,False,302.0,40.0,26.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.001943059685792974
BER,2016,8,5,0,0,0,0,False,306.0,42.0,28.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0019176602127760724
BER,2020,2,2,1,0,0,1,False,339.0,50.0,33.0,0.06060606060606061,0.0029498525073746312,0.0,0.0,0.0009832841691248771,0.0025964779872100804
BER,2024,8,5,0,0,0,0,False,329.0,48.0,32.0,0.15625,0.0,0.0,0.0,0.0,0.0026753982907726966
BLR,2004,192,22,2,5,6,13,False,301.0,40.0,27.0,0.8148148148148148,0.006644518272425249,0.016611295681063124,0.019933554817275746,0.014396456256921373,0.0325410540111001
BLR,2008,237,24,4,5,9,18,False,302.0,42.0,27.0,0.8888888888888888,0.013245033112582781,0.016556291390728478,0.029801324503311258,0.019867549668874173,0.032630618922746685
BLR,2012,185,23,2,5,5,12,False,302.0,40.0,26.0,0.8846153846153846,0.006622516556291391,0.016556291390728478,0.016556291390728478,0.013245033112582781,0.032630618922746685
BLR,2016,142,22,1,4,4,9,False,306.0,42.0,28.0,0.7857142857142857,0.0032679738562091504,0.013071895424836602,0.013071895424836602,0.00980392156862745,0.03220407488454084
BLR,2020,137,20,1,3,3,7,False,339.0,50.0,33.0,0.6060606060606061,0.0029498525073746312,0.008849557522123894,0.008849557522123894,0.00688298918387414,0.028749192296801823
BOT,2004,12,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0024454202333518485
BOT,2008,11,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.002490308093955413
BOT,2012,4,2,0,1,0,1,False,302.0,40.0,26.0,0.07692307692307693,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.002490308093955413
BOT,2016,14,3,0,0,0,0,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.002457755046975604
BOT,2020,16,4,0,0,1,1,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0029498525073746312,0.0009832841691248771,0.002265706780265968
BOT,2024,19,2,1,1,0,2,False,329.0,48.0,32.0,0.0625,0.00303951367781155,0.00303951367781155,0.0,0.002026342451874367,0.0023345732477512557
BRA,2004,318,26,5,2,3,10,False,301.0,40.0,27.0,0.9629629629629629,0.016611295681063124,0.006644518272425249,0.009966777408637873,0.01107419712070875,0.06292101503918335
BRA,2008,338,28,3,4,9,16,False,302.0,42.0,27.0,1.037037037037037,0.009933774834437087,0.013245033112582781,0.029801324503311258,0.017660044150110375,0.062381800082079705
BRA,2012,306,27,3,5,9,17,False,302.0,40.0,26.0,1.0384615384615385,0.009933774834437087,0.016556291390728478,0.029801324503311258,0.018763796909492272,0.06306850291828667
BRA,2016,583,34,7,6,6,19,True,306.0,42.0,28.0,1.2142857142857142,0.02287581699346405,0.0196078431372549,0.0196078431372549,0.020697167755991286,0.06224407804353781
BRA,2020,416,33,7,6,8,21,False,339.0,50.0,33.0,1.0,0.02064896755162242,0.017699115044247787,0.02359882005899705,0.02064896755162242,0.06475084140501806
BRA,2024,401,38,3,7,10,20,False,329.0,48.0,32.0,1.1875,0.00911854103343465,0.02127659574468085,0.030395136778115502,0.020263424518743668,0.06671895208602166
BRN,2004,10,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.018066673230789032
BRN,2008,15,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.018194970869869403
BRN,2012,14,3,0,0,1,1,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.018194970869869403
BRN,2016,33,4,1,1,0,2,False,306.0,42.0,28.0,0.14285714285714285,0.0032679738562091504,0.0032679738562091504,0.0,0.002178649237472767,0.017957128113400524
BRN,2020,33,5,0,1,0,1,False,339.0,50.0,33.0,0.15151515151515152,0.0,0.0029498525073746312,0.0,0.0009832841691248771,0.016147839535031346
BRN,2024,15,5,2,1,1,4,False,329.0,48.0,32.0,0.15625,0.0060790273556231,0.00303951367781155,0.00303951367781155,0.004052684903748734,0.01569548012201715
BUL,2004,119,19,2,1,9,12,False,301.0,40.0,27.0,0.7037037037037037,0.006644518272425249,0.0033222591362126247,0.029900332225913623,0.013289036544850499,0.03309651738821503
BUL,2008,87,15,1,1,3,5,False,302.0,42.0,27.0,0.5555555555555556,0.0033112582781456954,0.0033112582781456954,0.009933774834437087,0.005518763796909493,0.03251968918651303
BUL,2012,75,17,0,1,1,2,False,302.0,40.0,26.0,0.6538461538461539,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.03347633364473343
BUL,2016,58,14,0,1,2,3,False,306.0,42.0,28.0,0.5,0.0,0.0032679738562091504,0.006535947712418301,0.0032679738562091504,0.03303873451212254
BUL,2020,56,13,3,1,2,6,False,339.0,50.0,33.0,0.3939393939393939,0.008849557522123894,0.0029498525073746312,0.0058997050147492625,0.0058997050147492625,0.03728717393339636
BUL,2024,61,16,3,1,3,7,False,329.0,48.0,32.0,0.5,0.00911854103343465,0.00303951367781155,0.00911854103343465,0.0070921985815602835,0.027437103401954356
BUR,2004,5,3,0,0,0,0,False,301.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0024454202333518485
BUR,2008,6,4,0,0,0,0,False,302.0,42.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.002490308093955413
BUR,2012,5,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.002490308093955413
BUR,2016,5,3,0,0,0,0,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.002457755046975604
BUR,2020,8,5,0,0,1,1,False,339.0,50.0,33.0,0.15151515151515152,0.0,0.0,0.0029498525073746312,0.0009832841691248771,0.002265706780265968
BUR,2024,8,5,0,0,0,0,False,329.0,48.0,32.0,0.15625,0.0,0.0,0.0,0.0,0.0023345732477512557
CAN,2004,391,28,3,6,3,12,False,301.0,40.0,27.0,1.037037037037037,0.009966777408637873,0.019933554817275746,0.009966777408637873,0.013289036544850499,0.09379053904992779
CAN,2008,449,30,3,9,7,19,False,302.0,42.0,27.0,1.1111111111111112,0.009933774834437087,0.029801324503311258,0.023178807947019868,0.02097130242825607,0.09500989984692529
CAN,2012,354,28,1,5,12,18,False,302.0,40.0,26.0,1.0769230769230769,0.0033112582781456954,0.016556291390728478,0.039735099337748346,0.019867549668874173,0.0946464197828526
CAN,2016,405,31,4,3,15,22,False,306.0,42.0,28.0,1.1071428571428572,0.013071895424836602,0.00980392156862745,0.049019607843137254,0.023965141612200435,0.09340921168111598
CAN,2020,509,40,7,6,11,24,False,339.0,50.0,33.0,1.2121212121212122,0.02064896755162242,0.017699115044247787,0.032448377581120944,0.02359882005899705,0.08877615923800984
CAN,2024,538,40,9,7,11,27,False,329.0,48.0,32.0,1.25,0.02735562310030395,0.02127659574468085,0.03343465045592705,0.02735562310030395,0.09278700394540154
CHI,2004,29,11,2,0,1,3,False,301.0,40.0,27.0,0.4074074074074074,0.006644518272425249,0.0,0.0033222591362126247,0.0033222591362126247,0.011285368303294463
CHI,2008,29,14,0,1,0,1,False,302.0,42.0,27.0,0.5185185185185185,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.010490797044406221
CHI,2012,44,17,0,0,0,0,False,302.0,40.0,26.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.010490797044406221
CHI,2016,47,16,0,0,0,0,False,306.0,42.0,28.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.01035366244251856
CHI,2020,63,25,0,0,0,0,False,339.0,50.0,33.0,0.7575757575757576,0.0,0.0,0.0,0.0,0.00934578379767162
CHI,2024,52,22,1,1,0,2,False,329.0,48.0,32.0,0.6875,0.00303951367781155,0.00303951367781155,0.0,0.002026342451874367,0.009629850174500545
CHN,2004,518,31,32,17,14,63,False,301.0,40.0,27.0,1.1481481481481481,0.10631229235880399,0.05647840531561462,0.046511627906976744,0.06976744186046512,0.25386904327373233
CHN,2008,730,34,51,21,28,100,True,302.0,42.0,27.0,1.2592592592592593,0.16887417218543047,0.0695364238410596,0.09271523178807947,0.11037527593818984,0.25366127021271734
CHN,2012,479,29,38,27,23,88,False,302.0,40.0,26.0,1.1153846153846154,0.12582781456953643,0.08940397350993377,0.076158940397351,0.09713024282560706,0.25672650877672043
CHN,2016,499,32,26,18,26,70,False,306.0,42.0,28.0,1.1428571428571428,0.08496732026143791,0.058823529411764705,0.08496732026143791,0.07625272331154684,0.2543065450455584
CHN,2020,574,41,38,32,18,88,False,339.0,50.0,33.0,1.2424242424242424,0.11209439528023599,0.0943952802359882,0.05309734513274336,0.08652900688298919,0.24813658581792622
CHN,2024,587,42,40,27,24,91,False,329.0,48.0,32.0,1.3125,0.12158054711246201,0.08206686930091185,0.0729483282674772,0.09219858156028368,0.24284781931902366
CIV,2004,5,3,0,0,0,0,False,301.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.008600922465533876
CIV,2008,22,5,0,0,0,0,False,302.0,42.0,27.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.008572442589820187
CIV,2012,10,6,0,0,0,0,False,302.0,40.0,26.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.008572442589820187
CIV,2016,15,6,1,0,1,2,False,306.0,42.0,28.0,0.21428571428571427,0.0032679738562091504,0.0,0.0032679738562091504,0.002178649237472767,0.008460384516750642
CIV,2020,32,6,0,0,1,1,False,339.0,50.0,33.0,0.18181818181818182,0.0,0.0,0.0029498525073746312,0.0009832841691248771,0.00763680726290766
CIV,2024,18,4,0,0,1,1,False,329.0,48.0,32.0,0.125,0.0,0.0,0.00303951367781155,0.0010131712259371835,0.007868929064211844
CMR,2004,19,5,1,0,0,1,False,301.0,40.0,27.0,0.18518518518518517,0.0033222591362126247,0.0,0.0,0.0011074197120708748,0.0
CMR,2008,32,9,1,0,0,1,False,302.0,42.0,27.0,0.3333333333333333,0.0033112582781456954,0.0,0.0,0.0011037527593818985,0.0
CMR,2012,32,9,0,0,0,0,False,302.0,40.0,26.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.0
CMR,2016,22,6,0,0,0,0,False,306.0,42.0,28.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
CMR,2020,12,7,0,0,0,0,False,339.0,50.0,33.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0
CMR,2024,6,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0,0.0
COL,2004,71,15,0,0,2,2,False,301.0,40.0,27.0,0.5555555555555556,0.0,0.0,0.006644518272425249,0.0022148394241417496,0.030228708587751157
COL,2008,90,16,0,1,1,2,False,302.0,42.0,27.0,0.5925925925925926,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.03026715837093338
COL,2012,120,19,1,3,4,8,False,302.0,40.0,26.0,0.7307692307692307,0.0033112582781456954,0.009933774834437087,0.013245033112582781,0.008830022075055188,0.03123624627931752
COL,2016,157,21,3,2,3,8,False,306.0,42.0,28.0,0.75,0.00980392156862745,0.006535947712418301,0.00980392156862745,0.008714596949891068,0.03082792933448985
COL,2020,77,20,0,4,1,5,False,339.0,50.0,33.0,0.6060606060606061,0.0,0.011799410029498525,0.0029498525073746312,0.004916420845624385,0.028994280918510494
COL,2024,105,24,0,3,1,4,False,329.0,48.0,32.0,0.75,0.0,0.00911854103343465,0.00303951367781155,0.004052684903748734,0.028265686046588284
CPV,2004,3,3,0,0,0,0,False,301.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.001509102061282697
CPV,2008,2,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0015041050345897078
CPV,2012,3,2,0,0,0,0,False,302.0,40.0,26.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.001777578677242382
CPV,2016,5,4,0,0,0,0,False,306.0,42.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0017543423546640504
CPV,2020,6,5,0,0,0,0,False,339.0,50.0,33.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0015835656652719745
CPV,2024,7,5,0,0,1,1,False,329.0,48.0,32.0,0.15625,0.0,0.0,0.00303951367781155,0.0010131712259371835,0.0016316983602650437
CRC,2004,21,6,0,0,0,0,False,301.0,40.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
CRC,2008,8,4,0,0,0,0,False,302.0,42.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0
CRC,2012,11,6,0,0,0,0,False,302.0,40.0,26.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
CRC,2016,12,6,0,0,0,0,False,306.0,42.0,28.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
CRC,2020,18,8,0,0,0,0,False,339.0,50.0,33.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.0
CRC,2024,6,5,0,0,0,0,False,329.0,48.0,32.0,0.15625,0.0,0.0,0.0,0.0,0.0
CRO,2004,100,14,1,2,2,5,False,301.0,40.0,27.0,0.5185185185185185,0.0033222591362126247,0.006644518272425249,0.006644518272425249,0.005537098560354375,0.06757021114699052
CRO,2008,125,15,0,2,3,5,False,302.0,42.0,27.0,0.5555555555555556,0.0,0.006622516556291391,0.009933774834437087,0.005518763796909493,0.06708197683238297
CRO,2012,118,17,3,1,2,6,False,302.0,40.0,26.0,0.6538461538461539,0.009933774834437087,0.0033112582781456954,0.006622516556291391,0.006622516556291391,0.06808533471216624
CRO,2016,93,18,5,3,2,10,False,306.0,42.0,28.0,0.6428571428571429,0.016339869281045753,0.00980392156862745,0.006535947712418301,0.010893246187363835,0.0671953303368438
CRO,2020,74,17,3,3,2,8,False,339.0,50.0,33.0,0.5151515151515151,0.008849557522123894,0.008849557522123894,0.0058997050147492625,0.007866273352999017,0.06141851487767961
CRO,2024,85,16,2,2,3,7,False,329.0,48.0,32.0,0.5,0.0060790273556231,0.0060790273556231,0.00911854103343465,0.0070921985815602835,0.06328533903809538
CUB,2004,177,18,9,7,11,27,False,301.0,40.0,27.0,0.6666666666666666,0.029900332225913623,0.023255813953488372,0.036544850498338874,0.029900332225913623,0.04740484698769511
CUB,2008,171,18,2,11,11,24,False,302.0,42.0,27.0,0.6666666666666666,0.006622516556291391,0.03642384105960265,0.03642384105960265,0.026490066225165563,0.04673502888086593
CUB,2012,118,14,5,3,6,14,False,302.0,40.0,26.0,0.5384615384615384,0.016556291390728478,0.009933774834437087,0.019867549668874173,0.01545253863134658,0.05049292749304287
CUB,2016,143,19,5,2,4,11,False,306.0,42.0,28.0,0.6785714285714286,0.016339869281045753,0.006535947712418301,0.013071895424836602,0.011982570806100218,0.04983288922515996
CUB,2020,82,15,7,3,5,15,False,339.0,50.0,33.0,0.45454545454545453,0.02064896755162242,0.008849557522123894,0.014749262536873156,0.014749262536873156,0.04526184078627019
CUB,2024,69,16,2,1,6,9,False,329.0,48.0,32.0,0.5,0.0060790273556231,0.00303951367781155,0.0182370820668693,0.00911854103343465,0.046637580627798166
CYP,2004,21,7,0,0,0,0,False,301.0,40.0,27.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.005235219639983674
CYP,2008,18,6,0,0,0,0,False,302.0,42.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.005217884475612866
CYP,2012,13,7,0,1,0,1,False,302.0,40.0,26.0,0.2692307692307692,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.004743531341466242
CYP,2016,21,6,0,0,0,0,False,306.0,42.0,28.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.00468152439582616
CYP,2020,23,6,0,0,0,0,False,339.0,50.0,33.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.004225800782073171
